,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名,第21名,第22名,第23名,第24名,第25名,第26名,第27名,第28名,第29名,第30名
47,2023-04-17,新易盛,上海电影,中文在线,兆龙互连,中际旭创,剑桥科技,昆仑万维,果麦文化,富春股份,中国科传,姚记科技,神州泰岳,久远银海,寒武纪-U,奥飞娱乐,百纳千成,健麾信息,拓荆科技,卓易信息,同花顺,博汇科技,金桥信息,朗科科技,卓然股份,曲江文旅,深科技,中微公司,盛天网络,云从科技-UW,小商品城
48,2023-04-18,新易盛,中际旭创,上海电影,果麦文化,中文在线,昆仑万维,兆龙互连,剑桥科技,中国科传,科德教育,卓易信息,久远银海,光库科技,曲江文旅,精测电子,云从科技-UW,朗科科技,奥飞娱乐,汇洲智能,卓然股份,姚记科技,东田微,神州泰岳,拓荆科技,美亚柏科,金桥信息,博汇科技,深科技,电魂网络,华工科技
49,2023-04-19,新易盛,中际旭创,上海电影,剑桥科技,中文在线,果麦文化,中国科传,兆龙互连,曲江文旅,卓易信息,昆仑万维,光库科技,科德教育,寒武纪-U,华星创业,精测电子,电魂网络,东田微,拓荆科技,久远银海,博创科技,卓然股份,同有科技,英杰电气,汇洲智能,美亚柏科,太辰光,朗科科技,中科信息,富信科技
50,2023-04-20,新易盛,剑桥科技,上海电影,中国科传,果麦文化,中文在线,中际旭创,卓易信息,兆龙互连,电魂网络,精测电子,科德教育,寒武纪-U,东田微,神州泰岳,华星创业,昆仑万维,光库科技,拓荆科技,中科信息,英杰电气,慈文传媒,卓然股份,曲江文旅,首都在线,深科技,美亚柏科,朗科科技,福晶科技,奥飞娱乐
51,2023-04-21,剑桥科技,中国科传,果麦文化,新易盛,上海电影,精测电子,电魂网络,铁科轨道,中文在线,中科信息,万兴科技,慈文传媒,卓易信息,冰川网络,兆龙互连,科德教育,英杰电气,华星创业,神州泰岳,中际旭创,中信出版,卓然股份,高澜股份,华工科技,寒武纪-U,昆仑万维,祥生医疗,曲江文旅,拓荆科技,东田微
52,2023-04-24,中国科传,新易盛,剑桥科技,果麦文化,上海电影,电魂网络,东田微,精测电子,中科信息,铁科轨道,卓易信息,慈文传媒,兆龙互连,卓然股份,中际旭创,华星创业,永鼎股份,冰川网络,光库科技,华工科技,南方传媒,科德教育,高澜股份,万兴科技,拓荆科技,英杰电气,中国出版,神州泰岳,中信出版,曲江文旅
53,2023-04-25,中国科传,中科信息,上海电影,电魂网络,果麦文化,铁科轨道,剑桥科技,精测电子,东田微,万兴科技,新易盛,唐德影视,南方传媒,卓然股份,华星创业,科德教育,慈文传媒,神州泰岳,冰川网络,高澜股份,游族网络,永鼎股份,拓荆科技,中科曙光,兆龙互连,中石科技,华建集团,祥生医疗,长虹美菱,奥飞娱乐
54,2023-04-26,中国科传,中科信息,上海电影,高澜股份,唐德影视,剑桥科技,南方传媒,万兴科技,电魂网络,中石科技,果麦文化,铁科轨道,神州泰岳,东田微,冰川网络,华建集团,慈文传媒,新易盛,精测电子,卓然股份,华星创业,永鼎股份,游族网络,中国出版,昆仑万维,奥飞娱乐,超讯通信,拓荆科技,科德教育,思美传媒
55,2023-04-27,中国科传,中科信息,上海电影,唐德影视,华建集团,南方传媒,高澜股份,游族网络,万兴科技,华星创业,电魂网络,铁科轨道,果麦文化,拓新药业,精测电子,慈文传媒,剑桥科技,小商品城,新华文轩,艾比森,神州泰岳,中国出版,昆仑万维,中石科技,超讯通信,英杰电气,卓然股份,冰川网络,科德教育,拓荆科技
56,2023-04-28,中科信息,中国科传,唐德影视,果麦文化,万兴科技,上海电影,南方传媒,华建集团,华星创业,铁科轨道,冰川网络,游族网络,昆仑万维,电魂网络,高澜股份,神州泰岳,小商品城,超讯通信,中国出版,新华文轩,天舟文化,精测电子,剑桥科技,中际旭创,盛天网络,思美传媒,拓新药业,慈文传媒,艾比森,蓝色光标
57,2023-05-04,中科信息,中国科传,唐德影视,万兴科技,果麦文化,南方传媒,华建集团,上海电影,冰川网络,华星创业,铁科轨道,天舟文化,高澜股份,游族网络,中国出版,新华文轩,剑桥科技,电魂网络,小商品城,掌趣科技,思美传媒,奥飞娱乐,超讯通信,神州泰岳,焦点科技,中文传媒,世纪天鸿,山东出版,长江传媒,慈文传媒
