,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
90,2023-04-17,上海电影,中文在线,昆仑万维,富春股份,中国科传,姚记科技,神州泰岳,寒武纪-U,奥飞娱乐,百纳千成
91,2023-04-18,上海电影,中文在线,昆仑万维,中国科传,曲江文旅,精测电子,奥飞娱乐,神州泰岳,姚记科技,卓然股份
92,2023-04-19,上海电影,中文在线,中国科传,曲江文旅,昆仑万维,寒武纪-U,精测电子,电魂网络,拓荆科技-U,卓然股份
93,2023-04-20,上海电影,中国科传,中文在线,电魂网络,精测电子,寒武纪-U,神州泰岳,昆仑万维,拓荆科技-U,中科信息
94,2023-04-21,中国科传,上海电影,精测电子,电魂网络,中文在线,中科信息,万兴科技,慈文传媒,冰川网络,英杰电气
95,2023-04-24,中国科传,上海电影,电魂网络,精测电子,中科信息,慈文传媒,卓然股份,永鼎股份,冰川网络,华工科技
96,2023-04-25,中国科传,中科信息,上海电影,电魂网络,精测电子,万兴科技,唐德影视,卓然股份,慈文传媒,神州泰岳
97,2023-04-26,中国科传,中科信息,上海电影,唐德影视,万兴科技,电魂网络,神州泰岳,冰川网络,慈文传媒,精测电子
98,2023-04-27,中国科传,中科信息,上海电影,唐德影视,游族网络,万兴科技,电魂网络,精测电子,慈文传媒,小商品城
99,2023-04-28,中科信息,中国科传,唐德影视,万兴科技,上海电影,冰川网络,游族网络,昆仑万维,电魂网络,神州泰岳
