,股票名称,股票代码,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
164,兰石重装,603169.SH,-2.18,4.09,59.92,1054177.48,专用机械,0.1347,175933175.85,43.35,-17.3079,2.403919648304,5.77
165,创业慧康,300451.SZ,-2.89,3.9,354.29,1323406.92,软件服务,0.03,42637972.84,-89.68,-284.8246,2.964923989365,0.92
166,达实智能,002421.SZ,-2.36,3.21,41.36,735172.42,软件服务,0.1109,211771631.04,142.38,-18.0467,1.427080357398,8.08
167,金龙机电,300032.SZ,-0.51,0.91,140.6,474672.35,元器件,,,,,,
168,上海医药,601607.SH,1.77,0.93,14.35,4198318.65,医药商业,1.61,5617152003.01,10.28,-28.1726,18.13716523598,9.11
169,北信源,300352.SZ,-3.62,4.48,-43.2,672475.53,软件服务,,,,,,
170,海信家电,000921.SZ,10.01,0.83,21.4,2034081.15,家用电器,1.05,1434904374.84,47.54,-18.8101,8.45236871281,13.13
171,力盛体育,002858.SZ,-0.19,10.82,-67.38,301422.33,文教休闲,,,,,,
172,首创环保,600008.SH,0.67,1.1,7.03,2216858.38,环境保护,0.4296,3153774412.01,34.68,-104.1025,2.550541434764,11.45
173,和而泰,002402.SZ,-0.57,1.05,36.85,1387582.33,元器件,0.4786,437551607.48,-20.93,-18.4923,4.566885022578,11.28
174,派林生物,000403.SZ,-1.15,0.61,39.29,1598575.53,生物制药,,,,,,
175,三六五网,300295.SZ,-3.7,5.4,110.9,189937.32,互联网,,,,,,
176,星辉环材,300834.SZ,-0.46,1.25,35.75,158675.45,化工原料,0.74,140023617.84,-52.06,154.0044,15.441987809936,4.97
177,富森美,002818.SZ,0.58,1.23,13.26,413823.11,其他商业,1.05,783050306.45,-14.72,24.366,7.926009274056,13.24
178,武汉凡谷,002194.SZ,-2.61,3.43,26.82,550723.12,通信设备,0.4068,276260525.9,21.32,-57.9405,3.962274953791,11.04
179,齐峰新材,002521.SZ,-0.51,2.02,-397.56,237266.74,造纸,0.02,8475812.51,-94.87,139.2205,7.166627841458,0.24
180,中视传媒,600088.SH,-3.44,2.07,-48.28,446226.58,影视音像,,,,,,
181,华宇软件,300271.SZ,-2.41,2.07,-8.72,700365.31,软件服务,,,,,,
182,飞凯材料,300398.SZ,-1.9,2.3,25.1,1084242.33,化工原料,0.84,434571908.78,12.62,67.7578,6.715302388009,12.65
183,百亚股份,003006.SZ,1.3,1.21,26.11,419084.87,造纸,0.44,187290838.0,-17.83,27.9408,2.974159444501,15.3
184,大富科技,300134.SZ,-5.23,2.8,75.95,709568.33,通信设备,,,,,,
185,五矿发展,600058.SH,0.3,0.93,31.88,1082629.82,商贸代理,0.17,339604024.69,-29.1,16.0431,4.490922545656,3.91
186,力鼎光电,605118.SH,-0.14,4.46,31.52,60566.11,元器件,,,,,,
187,浩丰科技,300419.SZ,-2.5,3.47,164.29,258529.58,软件服务,,,,,,
188,风华高科,000636.SZ,-1.97,1.22,63.47,1934787.61,元器件,0.31,327037938.38,-65.32,125.7316,10.257775922871,3.17
189,塔牌集团,002233.SZ,-0.37,0.7,36.32,966236.58,水泥,0.23,266206967.73,-85.5,330.5435,9.473569911961,2.32
190,山东钢铁,600022.SH,1.26,0.56,31.03,1722514.78,普钢,0.0519,555153248.2,-54.8,128.1202,2.041306975708,2.49
191,千方科技,002373.SZ,-4.13,3.21,-91.28,1976477.44,软件服务,,,,,,
192,歌力思,603808.SH,0.09,0.41,38.12,414860.39,服饰,,,,,,
193,亿帆医药,002019.SZ,2.35,1.63,97.75,1298901.36,化学制药,0.16,191277350.92,-31.29,-128.0558,7.187035988954,2.2
194,外高桥,600648.SH,0.56,0.41,11.56,1180641.82,园区开发,1.09,1240803308.65,32.41,280.5739,10.564007912398,10.62
195,宇环数控,002903.SZ,-1.4,7.14,54.44,278057.67,机床制造,,,,,,
196,中国银行,601988.SH,1.99,0.13,4.63,75454054.31,银行,0.73,227439000000.0,5.0240350205,2.2593,6.991059418183,10.81
197,阳光照明,600261.SH,-0.29,0.49,27.57,478154.95,家用电器,,,,,,
198,豫光金铅,600531.SH,-0.77,2.9,16.57,704296.74,铅锌,0.39,424944495.22,6.27,733.9006,3.995769013148,10.07
199,宝鼎科技,002552.SZ,-0.97,1.72,-231.47,389987.54,机械基件,-0.1,-34476409.22,-641.48,-1851.2895,4.878664259291,-3.35
200,同益股份,300538.SZ,-4.26,4.0,181.99,170686.74,塑料,,,,,,
201,和晶科技,300279.SZ,-2.13,1.79,-23.59,237776.21,元器件,,,,,,
202,格林精密,300968.SZ,-1.26,2.75,32.28,163257.58,元器件,,,,,,
203,三峰环境,601827.SH,0.27,0.77,10.99,596606.79,环境保护,0.68,1139294719.61,-8.0,3.1476,5.744612202664,12.45
204,安科生物,300009.SZ,1.34,1.92,28.76,1401822.07,生物制药,0.43,703323479.92,240.38,-56.3605,1.917590056757,23.82
205,安徽建工,600502.SH,1.71,5.38,8.12,1120896.66,建筑工程,0.8,1380008670.33,25.94,46.0562,5.205497596879,11.76
206,飞利信,300287.SZ,-7.61,9.75,-55.13,530398.93,软件服务,,,,,,
207,万东医疗,600055.SH,-0.2,1.0,125.27,1324999.69,医疗保健,,,,,,
208,长虹美菱,000521.SZ,10.08,10.77,24.39,507093.3,家用电器,0.2366,244538734.49,371.19,-19.1341,5.018125902742,4.96
209,中金岭南,000060.SZ,-1.74,1.85,15.63,1894792.08,铅锌,0.33,1212289355.25,3.47,-15.3984,3.812093482855,8.61
210,华凯易佰,300592.SZ,-9.36,8.06,35.39,407469.2,互联网,,,,,,
211,网宿科技,300017.SZ,-5.44,5.19,74.25,1616047.43,软件服务,,,,,,
212,亚宝药业,600351.SH,-0.14,1.29,39.19,558250.02,中成药,,,,,,
213,新华文轩,601811.SH,-3.43,0.92,11.44,1025515.55,出版业,1.13,1396673063.27,6.95,1043.2679,10.122843562201,11.78
214,三安光电,600703.SH,-1.36,1.21,79.82,8585084.47,半导体,,,,,,
215,光环新网,300383.SZ,-3.56,3.99,40.64,2217510.52,电信运营,,,,,,
216,中原高速,600020.SH,0.92,0.51,52.47,737137.96,路桥,0.0186,140489913.5,-81.1,-473.3161,4.607300078926,0.4
217,科创信息,300730.SZ,-6.81,13.14,-405.78,264374.03,软件服务,,,,,,
218,太龙股份,300650.SZ,-2.52,4.26,39.31,184742.13,电气设备,,,,,,
219,佳禾智能,300793.SZ,-4.2,5.98,30.29,609591.03,IT设备,,,,,,
220,北京银行,601169.SH,1.98,0.38,3.96,9810344.7,银行,1.02,24760000000.0,11.4,-6.7047,10.908669536017,9.6
221,浙大网新,600797.SH,-2.22,2.99,99.2,813801.46,软件服务,,,,,,
222,中储股份,600787.SH,-0.99,2.8,20.46,1299877.67,仓储物流,0.3,640481048.74,-30.36,777.6023,5.964949661517,4.9712
223,海德股份,000567.SZ,1.13,0.4,24.12,1743095.89,多元金融,,,,,,
224,众兴菌业,002772.SZ,-0.18,5.84,5.66,443562.67,种植业,0.4,158351860.28,188.08,-71.1174,8.084204798928,4.93
225,宇信科技,300674.SZ,-5.6,4.3,52.53,1315091.41,软件服务,0.37,252970025.78,-36.09,1702.4979,5.396073080449,6.73
226,广电运通,002152.SZ,-1.92,1.42,38.39,3174649.02,IT设备,0.33,827327738.9,0.37,-37.1529,4.675827753325,7.26
227,川投能源,600674.SH,2.15,0.29,13.97,6347445.56,水力发电,,,,,,
228,嘉泽新能,601619.SH,0.21,0.76,21.87,1151094.77,新型电力,0.22,535439898.8,-30.59,5.3866,2.366585845576,9.63
229,恒邦股份,002237.SZ,-1.88,2.56,30.06,1189889.49,黄金,0.43,499110786.45,9.74,-32.18,7.199304853023,6.22
230,经纬辉开,300120.SZ,-7.74,19.69,37.82,327158.27,元器件,,,,,,
231,宏昌电子,603002.SH,1.05,0.91,7.52,354515.55,化工原料,,,,,,
232,建设银行,601939.SH,1.78,1.22,4.86,6044004.29,银行,1.28,323861000000.0,7.16,-10.5803,10.866581870398,12.27
233,广州酒家,603043.SH,1.25,0.6,31.11,1618721.71,食品,0.9156,520380327.94,-6.68,-87.95,5.846272235032,16.7
234,吴通控股,300292.SZ,-3.32,4.74,182.46,421827.14,软件服务,,,,,,
235,华兰生物,002007.SZ,0.57,0.83,41.87,3886759.63,生物制药,0.5897,1076265283.57,-17.14,-44.6931,5.699820084452,11.11
236,唐山港,601000.SH,0.3,0.97,11.82,1997037.94,港口,0.2851,1689667346.93,-19.11,-38.9222,3.235514865817,9.01
237,中国铝业,601600.SH,4.25,1.53,27.14,8671182.73,铝,0.239,4191927000.0,-27.22,-164.9277,3.053505292516,6.9
238,千金药业,600479.SH,6.24,4.94,18.07,534015.08,中成药,0.7093,303625165.42,0.52,60.7721,5.156301149266,13.89
239,科德教育,300192.SZ,-0.33,23.37,56.32,260836.46,文教休闲,,,,,,
240,内蒙新华,603230.SH,-2.69,7.26,11.34,113181.67,出版业,,,,,,
241,华源控股,002787.SZ,4.08,6.58,42.28,189039.48,广告包装,,,,,,
242,力源信息,300184.SZ,-3.67,3.37,20.91,550405.37,元器件,,,,,,
243,合力泰,002217.SZ,-2.08,1.76,-2.96,1024181.72,元器件,,,,,,
